code,category,date,time_start,time_end,location
403,汽車竊盜,107-12-31,18,20,台北市大安區群賢里四維路176巷1~30號
404,汽車竊盜,108-01-01,04,06,台北市信義區吳興街156巷7弄1~30號
405,汽車竊盜,108-01-01,10,12,台北市松山區健康路241~270號
406,汽車竊盜,108-01-01,16,18,台北市萬華區(華中橋堤外停車場)
407,汽車竊盜,108-01-03,00,02,台北市士林區社園里通河西街2段121~150號
408,汽車竊盜,108-01-04,16,18,台北市萬華區(桂林路246巷環快橋下停車場62格)
409,汽車竊盜,108-01-08,12,14,台北市南港區新光里忠孝東路6段370巷1~30號
410,汽車竊盜,108-01-10,14,16,台北市萬華區(長順街底堤外便道第121號
411,汽車竊盜,108-01-15,04,06,台北市中正區文祥里金山南路1段121~150號
412,汽車竊盜,108-01-15,06,08,台北市南港區龍華街(內)
413,汽車竊盜,108-01-20,08,10,台北市中山區天津街61~90號
414,汽車竊盜,108-01-30,04,06,台北市北投區一德里中央北路4段404巷(口)
415,汽車竊盜,108-01-30,06,08,台北市北投區稻香里稻香路121~150號
416,汽車竊盜,108-02-05,16,18,台北市北投區一德里大度路3段301~330號
417,汽車竊盜,108-03-12,00,02,台北市萬華區漢口街2段31~60號
418,汽車竊盜,108-03-24,22,24,台北市萬華區西昌街151~180號
419,汽車竊盜,108-03-24,22,24,台北市中山區西昌街151~180號
420,汽車竊盜,108-03-28,08,10,台北市中山區大佳河濱公園九號
